significance,loghbayesiancirc,standard,circenergy,circinc,circnullenergy,circnullinc,powerlaw,energyitf1,energyitf2,skypositiontheta,skypositionphi,jobNumber,nPixels,peakTime,peakFrequency,minTime,minFreq,deltaTime,deltaFreq,injIdx,triggerIdx,uniqIdx,filename,injscale
24.1821, 24.1821, 193.6037, 95.1447, 89.9400, 98.4591, 103.6637, 25.0026, 170.8361, 22.7676, 1.4403, 0.6211, 0, 16, 1165173837.2702, 187.7652, 1165173832.5000, 186.2500, 13.0000, 4.0000, 1, 31, 1, 1, 10
24.1836, 24.1836, 193.5160, 95.1455, 89.8958, 98.3705, 103.6202, 24.9969, 170.7692, 22.7468, 1.4403, 0.6211, 0, 16, 1165173837.2696, 187.7654, 1165173832.5000, 186.2500, 13.0000, 4.0000, 3, 25, 2, 1, 10
760.3963, 760.3963, 1887.2452, 1794.2103, 1043.5244, 93.0348, 843.7208, 386.7067, 691.5016, 1195.7436, 1.2521, 0.9833, 0, 62, 1165173711.5035, 146.0532, 1165173699.5000, 139.2500, 26.0000, 14.0000, 5, 2, 3, 1, 10
830.0744, 830.0744, 1999.6668, 1932.9743, 1122.6508, 66.6925, 877.0160, 353.8446, 656.1738, 1343.4931, 1.2521, 0.9833, 0, 61, 1165173711.6616, 146.0273, 1165173699.5000, 138.7500, 26.0000, 14.5000, 6, 2, 4, 1, 10
2860.8456, 2860.8456, 6715.0133, 6523.3570, 3893.5853, 191.6563, 2821.4280, 1075.9962, 2074.8947, 4640.1186, 1.2521, 0.9833, 0, 173, 1165173723.2513, 130.9618, 1165173699.5000, 114.2500, 51.0000, 38.0000, 9, 2, 5, 1, 10
24.5158, 24.5158, 194.6053, 95.9049, 90.7610, 98.7004, 103.8444, 24.9920, 171.9435, 22.6618, 1.4403, 0.6211, 0, 16, 1165173837.2624, 187.7627, 1165173832.5000, 186.2500, 13.0000, 4.0000, 14, 30, 6, 1, 10
2098.0597, 2098.0597, 5158.3338, 4963.5138, 3064.6069, 194.8200, 2093.7269, 1052.8581, 1431.0919, 3727.2419, 1.2107, 1.0797, 0, 175, 1165173724.1198, 133.8968, 1165173699.5000, 114.7500, 57.0000, 43.0000, 15, 2, 7, 1, 10
3245.9837, 3245.9837, 7780.2465, 7462.3301, 4490.4098, 317.9164, 3289.8367, 1263.3183, 2246.4981, 5533.7483, 1.2963, 0.8896, 0, 212, 1165173726.6810, 135.1142, 1165173699.5000, 114.7500, 59.0000, 49.0000, 18, 2, 8, 1, 10
24.1603, 24.1603, 193.5010, 95.0934, 89.8921, 98.4076, 103.6089, 24.9890, 170.7496, 22.7514, 1.4403, 0.6211, 0, 16, 1165173837.2702, 187.7652, 1165173832.5000, 186.2500, 13.0000, 4.0000, 20, 28, 9, 1, 10
2368.6012, 2368.6012, 5924.4102, 5629.9971, 3400.5282, 294.4131, 2523.8820, 1216.1934, 1835.8305, 4088.5797, 1.2521, 0.9833, 0, 204, 1165173727.0760, 136.9624, 1165173699.5000, 115.2500, 61.0000, 52.5000, 25, 2, 10, 1, 10
24.1642, 24.1642, 193.5141, 95.1028, 89.9018, 98.4113, 103.6124, 24.9889, 170.7625, 22.7517, 1.4403, 0.6211, 0, 16, 1165173837.2699, 187.7652, 1165173832.5000, 186.2500, 13.0000, 4.0000, 27, 27, 11, 1, 10
