significance,loghbayesiancirc,standard,circenergy,circinc,circnullenergy,circnullinc,powerlaw,energyitf1,energyitf2,skypositiontheta,skypositionphi,jobNumber,nPixels,peakTime,peakFrequency,minTime,minFreq,deltaTime,deltaFreq,injIdx,triggerIdx,uniqIdx,filename,injscale
30.9114,30.9114,168.1662,109.4974,77.3815,58.6688,90.7847,32.9366,99.6881,68.4781,1.3426,0.7983,0,16,1165173763.8887,127.9691,1165173758.5000,126.2500,14.0000,4.0000,3,15,1,1,10
45.0921,45.0921,171.6125,146.0013,93.0396,25.6112,78.5729,41.2850,59.1171,112.4954,1.3426,0.7983,0,17,1165173726.3568,134.4967,1165173713.5000,131.2500,28.0000,6.0000,4,6,2,1,10
24.1595,24.1595,193.4949,95.0915,89.8920,98.4034,103.6029,24.9918,170.7163,22.7786,1.4403,0.6211,0,16,1165173837.2700,187.7652,1165173832.5000,186.2500,13.0000,4.0000,9,26,3,1,10
24.1770,24.1770,193.5797,95.1325,89.9288,98.4472,103.6509,24.9997,170.8157,22.7640,1.4403,0.6211,0,16,1165173837.2702,187.7652,1165173832.5000,186.2500,13.0000,4.0000,11,32,4,1,10
24.3255,24.3255,194.3757,95.4809,90.2826,98.8948,104.0931,25.0153,171.6089,22.7669,1.4403,0.6211,0,16,1165173837.2747,187.7684,1165173832.5000,186.2500,13.0000,4.0000,14,31,5,1,10
75.5145,75.5145,264.7862,233.4998,144.1296,31.2864,120.6566,89.5456,95.6614,169.1248,1.2963,0.8896,0,23,1165173733.6751,133.9377,1165173722.5000,131.2500,23.0000,5.0000,16,7,6,1,10
24.1811,24.1811,193.6004,95.1423,89.9380,98.4582,103.6624,25.0004,170.8366,22.7638,1.4403,0.6211,0,16,1165173837.2702,187.7652,1165173832.5000,186.2500,13.0000,4.0000,18,31,7,1,10
4617.5249,4617.5249,10463.2015,10224.7379,5950.4068,238.4637,4512.7947,1123.8610,3501.4789,6961.7226,1.2521,0.9833,0,198,1165173722.7198,130.9905,1165173699.5000,114.7500,51.0000,36.5000,20,2,8,1,10
366.1472,366.1472,987.5011,929.4875,571.7704,58.0136,415.7306,265.4690,292.4631,695.0380,1.2521,0.9833,0,47,1165173713.1068,147.2724,1165173699.5000,139.2500,30.0000,16.0000,25,2,9,1,10
99.6016,99.6016,319.5038,300.4220,177.8064,19.0819,141.6975,96.8613,96.8445,222.6593,1.3907,0.7089,0,27,1165173712.4978,139.2136,1165173699.5000,135.7500,27.0000,6.5000,26,2,10,1,10
1429.8481,1429.8481,3702.8910,3429.4780,2045.4615,273.4130,1657.4295,1215.5488,1273.0419,2429.8491,1.2963,0.8896,0,130,1165173712.2965,149.5648,1165173708.1250,99.0000,10.2500,150.0000,29,3,11,1,10
444.2360,444.2360,1253.6738,1150.6378,704.5147,103.0360,549.1591,356.9519,417.4444,836.2294,1.2521,0.9833,0,63,1165173715.3200,149.6725,1165173699.5000,139.2500,35.0000,20.5000,33,2,12,1,10
24.1568,24.1568,193.4855,95.0852,89.8844,98.4003,103.6010,24.9867,170.7375,22.7480,1.4403,0.6211,0,16,1165173837.2702,187.7652,1165173832.5000,186.2500,13.0000,4.0000,34,28,13,1,10
24.1795,24.1795,193.5921,95.1385,89.9343,98.4536,103.6577,25.0005,170.8274,22.7647,1.4403,0.6211,0,16,1165173837.2702,187.7652,1165173832.5000,186.2500,13.0000,4.0000,36,31,14,1,10
24.1827,24.1827,193.6063,95.1461,89.9413,98.4602,103.6651,25.0037,170.8370,22.7693,1.4403,0.6211,0,16,1165173837.2702,187.7652,1165173832.5000,186.2500,13.0000,4.0000,37,31,15,1,10
24.1847,24.1847,193.6164,95.1507,89.9458,98.4657,103.6705,25.0034,170.8484,22.7680,1.4403,0.6211,0,16,1165173837.2702,187.7652,1165173832.5000,186.2500,13.0000,4.0000,40,31,16,1,10
174.3144,174.3144,551.7304,497.1600,319.1776,54.5704,232.5528,200.0608,164.5911,387.1393,1.2963,0.8896,0,37,1165173717.2609,121.1165,1165173715.4375,74.0000,3.0000,100.0000,42,3,17,1,10
24.0787,24.0787,193.3857,94.9198,89.7374,98.4658,103.6483,24.9729,170.7101,22.6755,1.4403,0.6211,0,16,1165173837.2566,187.7681,1165173832.5000,186.2500,13.0000,4.0000,45,32,18,1,10
50.9292,50.9292,179.1545,155.4497,100.7284,23.7047,78.4261,63.2123,55.9330,123.2215,1.2963,0.8896,0,15,1165173713.6468,153.5640,1165173705.5000,148.7500,16.0000,10.5000,49,3,19,1,10
40.4498,40.4498,202.9956,139.6223,92.1036,63.3733,110.8920,51.0768,124.4534,78.5422,1.3907,0.7089,0,19,1165173780.4587,128.8826,1165173772.5000,126.7500,15.0000,3.5000,50,17,20,1,10
106.6016,106.6016,490.9536,338.1301,223.1129,152.8235,267.8407,99.4315,310.9096,180.0440,1.3907,0.7089,0,37,1165173770.6333,130.6315,1165173759.5000,128.2500,25.0000,4.5000,53,13,21,1,10
23.1590,23.1590,189.6383,92.7165,87.6233,96.9218,102.0151,24.5984,166.9839,22.6544,1.4403,0.6211,0,16,1165173837.2903,187.7635,1165173832.5000,186.2500,13.0000,4.0000,57,30,22,1,10
934.5755,934.5755,2468.8244,2275.5124,1332.3409,193.3120,1136.4835,547.3391,880.7470,1588.0774,1.3426,0.7983,0,93,1165173726.3643,149.8574,1165173707.5000,138.7500,41.0000,23.5000,60,3,23,1,10
1849.8402,1849.8402,4552.1377,4337.1951,2498.7485,214.9427,2053.3893,1493.9293,1598.4495,2953.6882,1.2963,0.8896,0,142,1165173731.3065,151.2995,1165173727.1250,107.0000,9.7500,140.0000,62,6,24,1,10
843.4383,843.4383,2125.4103,2058.0468,1168.2933,67.3635,957.1170,501.6066,747.0967,1378.3137,1.2963,0.8896,0,86,1165173733.1460,150.0225,1165173714.5000,138.7500,39.0000,23.5000,65,5,25,1,10
96.7307,96.7307,337.4612,297.0857,183.3830,40.3756,154.0783,89.6609,108.3917,229.0696,1.3907,0.7089,0,29,1165173730.4533,141.1825,1165173716.5000,137.7500,28.0000,8.0000,66,7,26,1,10
493.9027,493.9027,1472.4769,1332.8751,881.2678,139.6018,591.2092,520.2531,462.2927,1010.1842,1.2521,0.9833,0,91,1165173734.4135,84.2673,1165173730.0625,18.0000,5.8750,168.0000,67,5,27,1,10
135.5290,135.5290,462.2470,423.9594,271.7606,38.2875,190.4863,170.5637,135.2307,327.0163,1.2521,0.9833,0,40,1165173738.1594,123.2865,1165173735.4375,74.0000,4.1250,124.0000,73,9,28,1,10
160.9113,160.9113,557.3081,499.3929,337.5558,57.9151,219.7523,194.8461,144.1107,413.1974,1.2963,0.8896,0,47,1165173738.2524,94.4405,1165173733.1250,61.0000,8.2500,86.0000,79,5,29,1,10
358.8740,358.8740,1093.1674,989.3868,674.2280,103.7806,418.9394,379.1430,300.8064,792.3610,1.2521,0.9833,0,72,1165173740.9705,87.5975,1165173737.8125,42.0000,4.3750,152.0000,80,7,30,1,10
2773.4387,2773.4387,6451.4256,6293.4880,3569.0791,157.9376,2882.3465,2010.0595,2172.1132,4279.3124,1.2963,0.8896,0,159,1165173743.9595,152.4607,1165173739.8750,107.0000,9.7500,142.0000,86,7,31,1,10
617.2580,617.2580,1741.1751,1596.1355,1026.4350,145.0396,714.7401,617.3744,540.2236,1200.9516,1.2963,0.8896,0,92,1165173744.6923,90.9802,1165173740.9375,34.0000,4.7500,212.0000,89,9,32,1,10
23.3957,23.3957,190.0651,93.2484,87.9616,96.8166,102.1035,23.1361,167.6484,22.4167,1.4403,0.6211,0,16,1165173837.2798,187.7760,1165173832.5000,186.2500,13.0000,4.0000,91,31,33,1,10
915.8685,915.8685,2332.3986,2224.1730,1317.9336,108.2256,1014.4650,522.5921,778.1271,1554.2715,1.2521,0.9833,0,91,1165173746.7447,150.4672,1165173728.5000,139.2500,39.0000,23.0000,93,7,34,1,10
35.3732,35.3732,369.8589,139.9454,121.0169,229.9135,248.8421,14.6686,343.2719,26.5870,1.4403,0.6211,0,24,1165173826.4347,116.9418,1165173820.5000,115.7500,16.0000,2.5000,94,26,35,1,10
24.1429,24.1429,192.9473,95.0255,89.8012,97.9218,103.1461,25.1092,170.4708,22.4765,1.4403,0.6211,0,16,1165173837.2639,187.7675,1165173832.5000,186.2500,13.0000,4.0000,96,33,36,1,10
1763.6112,1763.6112,4479.2598,4182.8804,2417.1955,296.3793,2062.0643,1456.2102,1706.8885,2772.3713,1.2963,0.8896,0,148,1165173750.2644,152.1958,1165173745.3750,105.0000,10.5000,142.0000,100,8,37,1,10
24.1794,24.1794,193.5933,95.1384,89.9331,98.4549,103.6602,25.0087,170.8206,22.7727,1.4403,0.6211,0,16,1165173837.2701,187.7652,1165173832.5000,186.2500,13.0000,4.0000,102,31,38,1,10
23.8296,23.8296,192.4313,94.2942,89.2092,98.1371,103.2221,24.7925,169.8052,22.6260,1.4403,0.6211,0,16,1165173837.2702,187.7684,1165173832.5000,186.2500,13.0000,4.0000,107,31,39,1,10
23.9578,23.9578,191.4777,94.5603,89.5171,96.9174,101.9607,23.8148,169.2684,22.2093,1.4403,0.6211,0,16,1165173837.2686,187.7629,1165173832.5000,186.2500,13.0000,4.0000,110,26,40,1,10
24.1597,24.1597,193.4926,95.0920,89.8897,98.4006,103.6029,24.9929,170.7338,22.7588,1.4403,0.6211,0,16,1165173837.2702,187.7652,1165173832.5000,186.2500,13.0000,4.0000,120,32,41,1,10
24.4550,24.4550,137.7628,80.9132,62.6194,56.8496,75.1434,9.0008,127.3574,10.4053,1.3907,0.7089,0,10,1165173837.0488,163.2674,1165173834.5000,161.7500,7.0000,3.5000,129,31,42,1,10
24.1844,24.1844,193.6147,95.1499,89.9451,98.4648,103.6696,25.0035,170.8465,22.7683,1.4403,0.6211,0,16,1165173837.2702,187.7652,1165173832.5000,186.2500,13.0000,4.0000,130,31,43,1,10
579.8119,579.8119,1655.5467,1503.2079,884.4154,152.3388,771.1313,413.8053,615.4958,1040.0509,1.3426,0.7983,0,81,1165173770.3935,149.2669,1165173750.5000,139.2500,39.0000,23.0000,138,10,44,1,10
21.4426,21.4426,126.7317,71.4641,57.2550,55.2676,69.4767,5.4641,119.8034,6.9282,1.3907,0.7089,0,9,1165173836.9908,163.3547,1165173834.5000,162.2500,7.0000,3.0000,140,34,45,1,10
24.6819,24.6819,138.6036,81.4287,63.0428,57.1748,75.5608,9.0071,128.1147,10.4889,1.3907,0.7089,0,10,1165173837.0498,163.2668,1165173834.5000,161.7500,7.0000,3.5000,148,33,46,1,10
24.1999,24.1999,193.5732,95.1916,90.0042,98.3817,103.5690,25.0346,170.8120,22.7612,1.4403,0.6211,0,16,1165173837.2698,187.7654,1165173832.5000,186.2500,13.0000,4.0000,154,31,47,1,10
127.4124,127.4124,480.2364,397.2827,271.8385,82.9537,208.3980,124.0007,135.7717,344.4648,1.2963,0.8896,0,40,1165173768.5486,146.6618,1165173750.5000,140.2500,42.0000,12.0000,181,11,48,1,10
24.1846,24.1846,193.6172,95.1504,89.9460,98.4668,103.6713,25.0017,170.8526,22.7646,1.4403,0.6211,0,16,1165173837.2702,187.7652,1165173832.5000,186.2500,13.0000,4.0000,183,31,49,1,10
42.8090,42.8090,147.9159,124.1498,91.5943,23.7661,56.3216,39.1822,37.8967,110.0192,1.3426,0.7983,0,11,1165173789.2698,55.7970,1165173786.7500,50.5000,4.5000,9.0000,194,20,50,1,10
24.2924,24.2924,137.2557,80.5116,62.1632,56.7441,75.0925,8.9784,126.7711,10.4846,1.3907,0.7089,0,10,1165173837.0548,163.2689,1165173834.5000,161.7500,7.0000,3.5000,197,31,51,1,10
24.1808,24.1808,193.5921,95.1414,89.9375,98.4506,103.6546,24.9994,170.8277,22.7644,1.4403,0.6211,0,16,1165173837.2705,187.7651,1165173832.5000,186.2500,13.0000,4.0000,198,30,52,1,10
23.8473,23.8473,192.6477,94.3300,89.2004,98.3177,103.4473,24.8224,170.0806,22.5671,1.4403,0.6211,0,16,1165173837.2754,187.7666,1165173832.5000,186.2500,13.0000,4.0000,220,30,53,1,10
24.1790,24.1790,193.5897,95.1372,89.9332,98.4524,103.6564,24.9997,170.8261,22.7636,1.4403,0.6211,0,16,1165173837.2702,187.7652,1165173832.5000,186.2500,13.0000,4.0000,223,31,54,1,10
24.1797,24.1797,193.5907,95.1390,89.9344,98.4517,103.6563,25.0032,170.8208,22.7699,1.4403,0.6211,0,16,1165173837.2702,187.7652,1165173832.5000,186.2500,13.0000,4.0000,224,31,55,1,10
24.1825,24.1825,193.6063,95.1456,89.9411,98.4608,103.6653,25.0019,170.8404,22.7659,1.4403,0.6211,0,16,1165173837.2702,187.7652,1165173832.5000,186.2500,13.0000,4.0000,230,31,56,1,10
24.1887,24.1887,193.6170,95.1589,89.9511,98.4581,103.6659,25.0044,170.8556,22.7613,1.4403,0.6211,0,16,1165173837.2703,187.7651,1165173832.5000,186.2500,13.0000,4.0000,234,31,57,1,10
25.9822,25.9822,80.5077,75.9435,53.7725,4.5641,26.7352,24.4120,19.4770,61.0306,1.2963,0.8896,0,7,1165173803.5181,39.8557,1165173799.5000,37.7500,7.0000,3.5000,241,23,58,1,10
24.1965,24.1965,193.6802,95.1780,89.9744,98.5022,103.7058,25.0094,170.9117,22.7685,1.4403,0.6211,0,16,1165173837.2706,187.7655,1165173832.5000,186.2500,13.0000,4.0000,242,31,59,1,10
66.7876,66.7876,208.6067,187.5114,121.3886,21.0953,87.2181,70.1643,66.1279,142.4788,1.3426,0.7983,0,15,1165173819.5150,61.5904,1165173816.2500,54.5000,6.0000,14.0000,243,26,60,1,10
