GRB                          MVA
170817                       0.183521
E264930                      0.264171
E264842                      0.256852
E265282                      0.320373
E266096                      0.307452
E269364                      0.268167
E269496                      0.262726
E269667                      0.210491
E272290                      0.180380
E272325                      0.179671
E273104                      0.152614
E273131                      0.234293
E277236                      0.282235
E278027                      0.238171
E278188                      0.166066
