significance,loghbayesiancirc,standard,circenergy,circinc,circnullenergy,circnullinc,powerlaw,energyitf1,energyitf2,skypositiontheta,skypositionphi,jobNumber,nPixels,peakTime,peakFrequency,minTime,minFreq,deltaTime,deltaFreq,injIdx,triggerIdx,uniqIdx,filename,injscale
54.7447,54.7447,177.0962,165.4394,92.7638,11.6568,84.3324,53.2927,69.7848,107.3114,1.3426,0.7983,0,15,1165173721.1172,135.8440,1165173716.5000,134.7500,9.0000,2.5000,11,7,1,1,10
287.1496,287.1496,797.9801,747.6424,504.6530,50.3377,293.3271,259.7370,194.7244,603.2557,1.2107,1.0797,0,44,1165173703.7553,80.6496,1165173702.1875,50.0000,2.5000,84.0000,15,2,2,1,10
35.9165,35.9165,111.2057,106.1199,56.2086,5.0858,54.9971,40.8305,50.6913,60.5144,1.2963,0.8896,0,9,1165173727.1048,135.1859,1165173722.5000,134.2500,9.0000,2.0000,16,8,3,1,10
4617.4037,4617.4037,10455.3623,10220.6613,5947.7642,234.7010,4507.5981,1122.5129,3493.9712,6961.3911,1.2521,0.9833,0,197,1165173722.7173,130.9954,1165173699.5000,114.7500,51.0000,36.5000,20,3,4,1,10
366.1472,366.1472,987.5011,929.4875,571.7704,58.0136,415.7306,265.4690,292.4631,695.0380,1.2521,0.9833,0,47,1165173713.1068,147.2724,1165173699.5000,139.2500,30.0000,16.0000,25,3,5,1,10
33.2764,33.2764,100.3729,97.8411,51.5945,2.5319,48.7784,34.1449,43.2823,57.0906,1.3907,0.7089,0,8,1165173713.5363,138.9190,1165173710.5000,137.7500,6.0000,2.0000,26,6,6,1,10
1394.4486,1394.4486,3542.8524,3306.6068,1966.0547,236.2456,1576.7977,1154.0533,1200.0691,2342.7833,1.2963,0.8896,0,117,1165173712.4326,146.4646,1165173708.3750,107.0000,9.2500,116.0000,29,4,7,1,10
606.9172,606.9172,1661.4845,1538.4795,938.3261,123.0050,723.1584,568.9809,481.6352,1179.8493,1.3426,0.7983,0,76,1165173715.0036,136.8989,1165173711.1250,109.0000,8.5000,74.0000,32,4,8,1,10
444.6597,444.6597,1237.9930,1143.7969,696.6539,94.1960,541.3391,353.4850,408.3888,829.6042,1.2521,0.9833,0,61,1165173715.4235,149.6104,1165173699.5000,139.2500,35.0000,20.5000,33,3,9,1,10
132.0586,132.0586,396.0112,364.2896,236.4235,31.7216,159.5877,138.9766,104.6680,291.3432,1.2963,0.8896,0,25,1165173716.9600,108.5336,1165173715.6875,86.0000,2.2500,52.0000,42,10,10,1,10
881.1167,881.1167,2347.8402,2171.0637,1367.2782,176.7766,980.5620,804.9644,704.8659,1642.9744,1.3426,0.7983,0,98,1165173718.2319,99.4056,1165173715.3125,38.0000,3.8750,164.0000,45,5,11,1,10
278.8566,278.8566,835.8286,766.3539,497.5265,69.4748,338.3021,300.9253,228.6578,607.1709,1.2521,0.9833,0,52,1165173717.8660,128.7128,1165173715.6875,78.0000,3.3750,124.0000,46,7,12,1,10
404.9705,404.9705,1123.3935,1055.3594,655.1049,68.0341,468.2886,410.8172,347.1442,776.2493,1.2963,0.8896,0,61,1165173717.7047,99.0916,1165173713.3750,63.0000,6.5000,82.0000,48,7,13,1,10
32.4103,32.4103,91.6438,89.0289,53.6619,2.6148,37.9819,28.4598,27.5832,64.0606,1.2521,0.9833,0,6,1165173714.8915,152.7063,1165173712.5000,151.2500,5.0000,3.0000,49,6,14,1,10
26.3762,26.3762,127.8325,90.7041,55.2167,37.1284,72.6158,15.4955,84.5153,43.3172,1.3907,0.7089,0,12,1165173778.7171,129.1716,1165173775.5000,128.2500,6.0000,2.0000,50,18,15,1,10
1647.8491,1647.8491,4027.2254,3870.9464,2299.4196,156.2790,1727.8058,1321.9071,1228.2253,2799.0001,1.2521,0.9833,0,129,1165173722.7865,152.1791,1165173718.8750,109.0000,9.5000,130.0000,52,5,16,1,10
27.4475,27.4475,89.6788,83.4204,47.8108,6.2584,41.8680,28.9756,35.9905,53.6883,1.3426,0.7983,0,8,1165173753.5145,133.5159,1165173750.5000,132.7500,6.0000,1.5000,53,14,17,1,10
1850.5675,1850.5675,4544.7025,4334.7782,2494.2315,209.9243,2050.4710,1491.6607,1597.7263,2946.9762,1.2963,0.8896,0,141,1165173731.3098,151.2428,1165173727.1250,107.0000,9.7500,140.0000,62,6,18,1,10
33.6758,33.6758,103.3630,98.2449,59.6851,5.1181,43.6779,27.8996,25.8631,77.4999,1.2963,0.8896,0,8,1165173739.4380,138.8903,1165173735.5000,137.7500,7.0000,2.0000,66,12,19,1,10
408.3498,408.3498,1104.4336,1046.2826,659.1639,58.1510,445.2697,414.8554,329.3885,775.0452,1.2521,0.9833,0,57,1165173735.0916,93.2756,1165173733.4375,50.0000,2.3750,124.0000,67,9,20,1,10
61.8586,61.8586,181.8479,172.6689,108.6326,9.1790,73.2153,66.6781,48.4439,133.4041,1.2107,1.0797,0,12,1165173738.7740,131.8586,1165173738.3125,114.0000,0.8750,40.0000,73,14,21,1,10
90.0374,90.0374,280.7997,267.0107,157.2734,13.7889,123.5262,111.1312,97.9052,182.8944,1.2963,0.8896,0,22,1165173740.7474,129.5391,1165173739.6875,102.0000,1.7500,60.0000,79,13,22,1,10
323.6561,323.6561,967.9732,883.0086,574.8604,84.9646,393.1129,358.7683,282.7459,685.2273,1.2521,0.9833,0,61,1165173741.5103,104.3410,1165173740.0312,52.0000,2.1875,176.0000,80,10,23,1,10
41.3245,41.3245,170.0657,132.3348,85.4794,37.7309,84.5863,44.5769,84.1614,85.9044,1.3426,0.7983,0,15,1165173774.7131,132.7608,1165173769.5000,131.7500,10.0000,2.0000,82,20,24,1,10
523.2024,523.2024,1372.0507,1289.8995,823.4279,82.1511,548.6227,480.9985,406.1176,965.9331,1.2963,0.8896,0,61,1165173744.7404,78.1791,1165173742.4375,34.0000,3.2500,100.0000,89,7,25,1,10
80.1218,80.1218,224.0322,217.1949,129.4827,6.8373,94.5495,88.8816,69.3383,154.6940,1.2963,0.8896,0,14,1165173747.3442,115.8573,1165173746.6875,102.0000,1.2500,32.0000,96,15,26,1,10
491.9628,491.9628,1395.3177,1315.9148,744.2153,79.4029,651.1024,301.9912,542.0134,853.3043,1.3426,0.7983,0,79,1165173722.5535,147.3066,1165173699.5000,139.7500,50.0000,15.0000,98,3,27,1,10
1762.4595,1762.4595,4430.4431,4157.9653,2393.0274,272.4778,2037.4156,1442.3852,1680.4041,2750.0389,1.2963,0.8896,0,142,1165173750.2394,152.2127,1165173746.1250,109.0000,9.7500,138.0000,100,8,28,1,10
1027.8308,1027.8308,2679.1820,2542.5621,1652.3032,136.6199,1026.8787,873.1534,723.6766,1955.5054,1.2521,0.9833,0,119,1165173751.8404,99.2950,1165173747.3125,38.0000,5.8750,184.0000,107,11,29,1,10
159.0965,159.0965,456.2287,430.2564,272.6765,25.9722,183.5521,166.8997,136.9893,319.2394,1.2963,0.8896,0,29,1165173761.3445,83.5432,1165173758.8750,67.0000,4.2500,34.0000,129,17,30,1,10
51.6208,51.6208,165.1680,149.6969,103.7504,15.4711,61.4176,56.1386,46.9829,118.1851,1.1724,1.1790,0,13,1165173770.6485,55.8381,1165173769.3750,47.0000,2.2500,18.0000,143,15,31,1,10
151.1574,151.1574,420.2257,396.3755,241.9221,23.8502,178.3036,162.3958,124.2649,295.9608,1.3426,0.7983,0,23,1165173775.7346,108.4452,1165173775.1562,76.0000,0.9375,80.0000,148,16,32,1,10
1768.9537,1768.9537,4386.8198,4187.6488,2304.4559,199.1710,2082.3638,1454.4867,1790.5081,2596.3117,1.3426,0.7983,0,145,1165173784.7842,150.6738,1165173780.6250,109.0000,9.7500,138.0000,162,16,33,1,10
104.4880,104.4880,290.0605,278.0399,168.0483,12.0207,122.0122,113.2388,96.1360,193.9246,1.2107,1.0797,0,17,1165173792.3261,108.1498,1165173791.8125,82.0000,0.8750,52.0000,177,18,34,1,10
32.2201,32.2201,92.4834,88.4469,48.1406,4.0365,44.3428,25.9489,38.0509,54.4326,1.2963,0.8896,0,6,1165173755.1151,150.7001,1165173752.5000,149.7500,5.0000,2.0000,181,12,35,1,10
33.3993,33.3993,114.7817,95.1552,69.0093,19.6265,45.7724,31.4221,33.5467,81.2350,1.3426,0.7983,0,8,1165173789.8565,56.9617,1165173788.2500,53.5000,3.0000,6.0000,194,18,36,1,10
23.4114,23.4114,76.9960,69.3778,55.7989,7.6182,21.1971,20.2375,11.0395,65.9565,1.2521,0.9833,0,6,1165173795.3388,33.6423,1165173794.8750,31.0000,1.2500,4.0000,197,18,37,1,10
36.0407,36.0407,116.9217,108.1338,70.7134,8.7879,46.2083,36.6246,23.5454,93.3763,1.1724,1.1790,0,9,1165173787.7123,158.6803,1165173784.5000,156.2500,7.0000,4.5000,198,16,38,1,10
467.0689,467.0689,1426.0157,1277.5206,794.3105,148.4951,631.7052,509.4375,491.2512,934.7645,1.3907,0.7089,0,85,1165173813.2716,99.4536,1165173808.1250,59.0000,7.5000,100.0000,220,20,39,1,10
69.8207,69.8207,213.3074,192.6842,149.1640,20.6232,64.1434,51.1559,26.7601,186.5473,1.2963,0.8896,0,15,1165173817.2646,54.6052,1165173813.7500,48.5000,6.0000,12.0000,241,26,40,1,10
93.5320,93.5320,315.9385,287.2285,177.0747,28.7099,138.8637,84.0849,113.6385,202.3000,1.3426,0.7983,0,26,1165173825.1920,88.4066,1165173822.8750,71.0000,4.2500,38.0000,243,34,41,1,10
69.5719,69.5719,199.6202,187.4113,127.9893,12.2089,71.6309,74.0141,52.8944,146.7258,1.3426,0.7983,0,13,1165173823.9040,46.8771,1165173822.2500,42.5000,3.5000,10.0000,248,32,42,1,10
55.6865,55.6865,205.3913,166.8970,104.4710,38.4943,100.9203,59.6729,88.8872,116.5041,1.3426,0.7983,0,15,1165173778.8247,157.8192,1165173772.5000,155.7500,11.0000,4.5000,265,12,43,1,10
135.8249,135.8249,511.8132,399.4106,321.9442,112.4025,189.8690,111.3644,116.5895,395.2236,1.4403,0.6211,0,36,1165173833.8124,49.8735,1165173829.2500,35.5000,7.0000,29.0000,267,38,44,1,10
