GRB & sgc70 & sgc100 & sgc150 & sgc300 & adi-a & adi-b & adi-c & adi-d & adi-e & BNS & NSBH \\
E264842 & 1.36 & 0.97 & 0.86 & 0.94 & 0.28 & 0.17 & 0.21 & 0.64 & 0.20 & 0.28 & 0.20 \\
E265282 & 1.42 & 1.11 & 0.97 & 1.07 & 0.31 & 0.19 & 0.23 & 0.64 & 0.23 & 0.33 & 0.24 \\
E266096 & 1.61 & 1.11 & 0.95 & 1.06 & 0.33 & 0.19 & 0.25 & 0.66 & 0.24 & 0.32 & 0.25 \\
E269364 & 1.21 & 0.93 & 0.99 & 0.84 & 0.80 & 0.17 & 0.20 & 0.57 & 0.19 & 0.27 & 0.19 \\
E269496 & 1.37 & 0.89 & 0.96 & 0.83 & 0.31 & 0.16 & 0.19 & 0.56 & 0.20 & 0.26 & 0.19 \\
E269667 & 1.11 & 0.73 & 0.85 & 0.65 & 0.31 & 0.12 & 0.16 & 0.45 & 0.15 & 0.20 & 0.15 \\
E272290 & 0.86 & 0.58 & 0.66 & 0.58 & 0.22 & 0.11 & 0.13 & 0.38 & 0.13 & 0.18 & 0.13 \\
E272325 & 0.85 & 0.64 & 0.70 & 0.61 & 0.28 & 0.11 & 0.13 & 0.39 & 0.13 & 0.18 & 0.14 \\
E273104 & 0.67 & 0.49 & 0.60 & 0.48 & 0.20 & 0.08 & 0.11 & 0.30 & 0.11 & 0.15 & 0.10 \\
E273131 & 1.09 & 0.81 & 0.95 & 0.81 & 0.31 & 0.13 & 0.17 & 0.49 & 0.17 & 0.25 & 0.18 \\
E277236 & 1.81 & 1.41 & 1.82 & 1.34 & 0.45 & 0.21 & 0.26 & 0.80 & 0.26 & 0.38 & 0.29 \\
E278027 & 1.18 & 0.80 & 0.95 & 0.79 & 0.30 & 0.14 & 0.18 & 0.51 & 0.17 & 0.24 & 0.18 \\
E278188 & 0.73 & 0.55 & 0.64 & 0.54 & 0.21 & 0.09 & 0.12 & 0.33 & 0.12 & 0.17 & 0.12 \\

